City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,whitehorse,60.7161,-135.0538,-22.57,77,75,1.03,CA,1738782596
1,lazaro cardenas,17.9583,-102.2,29.21,51,0,3.58,MX,1738782717
2,bethel,41.3712,-73.414,0.68,45,58,2.24,US,1738782719
3,waitangi,-43.9535,-176.5597,13.79,85,77,2.68,NZ,1738782720
4,adamstown,-25.066,-130.1015,25.1,79,6,6.19,PN,1738782721
5,sarangarh,21.6,83.0833,22.67,38,8,1.3,IN,1738782722
6,margaret river,-33.95,115.0667,18.53,85,0,6.97,AU,1738782723
7,vostochnyy,55.8167,37.8667,-0.09,100,100,2.48,RU,1738782701
8,port saint john's,-31.6229,29.5448,22.91,93,100,4.0,ZA,1738782725
9,cabo san lucas,22.8909,-109.9124,25.17,38,0,3.6,MX,1738782602
10,ukiah,39.1502,-123.2078,6.94,84,75,0.0,US,1738782727
11,jamestown,42.097,-79.2353,-3.2,61,0,2.57,US,1738782728
12,batticaloa,7.7102,81.6924,25.46,78,12,4.16,LK,1738782730
13,enkoping,59.6361,17.0777,3.79,90,0,3.0,SE,1738782731
14,huarmey,-10.0681,-78.1522,24.49,73,95,3.81,PE,1738782732
15,port-aux-francais,-49.35,70.2167,6.81,96,100,12.49,TF,1738782733
16,fale old settlement,-9.3852,-171.2468,28.5,74,87,7.54,TK,1738782734
17,tiksi,71.6872,128.8694,-28.73,97,100,3.38,RU,1738782735
18,grytviken,-54.2811,-36.5092,1.9,94,100,7.27,GS,1738782736
19,nyala,12.05,24.8833,26.0,12,98,5.6,SD,1738782737
20,lebu,-37.6167,-73.65,19.38,67,1,3.44,CL,1738782738
21,yuzhno-kurilsk,44.0306,145.8556,-1.94,77,85,6.83,RU,1738782740
22,georgetown,5.4112,100.3354,26.96,78,20,0.0,MY,1738782480
23,markovo,57.3206,107.0881,-40.26,100,96,0.97,RU,1738782742
24,afaahiti,-17.75,-149.2833,25.76,81,75,6.53,PF,1738782743
25,hithadhoo,-0.6,73.0833,27.81,66,4,5.13,MV,1738782744
26,saipan,15.1355,145.701,27.39,78,0,5.14,MP,1738782745
27,papatowai,-46.5619,169.4708,11.19,89,79,1.78,NZ,1738782746
28,ushuaia,-54.8,-68.3,11.37,73,100,3.34,AR,1738782722
29,ancud,-41.8697,-73.8203,15.74,75,98,5.38,CL,1738782644
30,stanley,54.868,-1.6985,3.01,85,0,3.6,GB,1738782750
31,walvis bay,-22.9575,14.5053,19.2,78,68,4.64,NA,1738782751
32,albany,42.6001,-73.9662,-4.12,47,41,2.24,US,1738782486
33,minas de marcona,-15.2119,-75.1103,22.38,64,72,6.09,PE,1738782753
34,vanino,49.0869,140.2543,-2.89,89,93,6.17,RU,1738782754
35,fisterra,42.9049,-9.2629,12.85,70,100,0.45,ES,1738782755
36,talnakh,69.4865,88.3972,-25.32,93,57,2.38,RU,1738782756
37,floro,61.5996,5.0328,5.98,87,75,8.23,NO,1738782757
38,port alfred,-33.5906,26.891,20.66,98,100,6.12,ZA,1738782758
39,rasinari,45.7,24.0667,0.09,69,100,0.51,RO,1738782759
40,basarabeasca,46.3311,28.9728,-1.12,65,7,3.31,MD,1738782761
41,hermanus,-34.4187,19.2345,17.11,59,100,5.66,ZA,1738782762
42,ola,59.5833,151.2833,-24.97,82,12,3.4,RU,1738782763
43,weno,7.4515,151.8468,27.97,83,100,3.6,FM,1738782764
44,yellowknife,62.456,-114.3525,-4.21,95,100,5.66,CA,1738782765
45,badger,64.8,-147.5333,-10.57,89,100,0.0,US,1738782766
46,koulikoro,14.0,-7.75,23.75,14,100,4.17,ML,1738782767
47,khilchipur,24.0333,76.5667,15.26,29,0,3.57,IN,1738782768
48,blackmans bay,-43.0167,147.3167,10.29,87,70,2.03,AU,1738782769
49,tokar,18.4254,37.729,25.99,67,0,4.6,SD,1738782771
50,cuiaba,-15.5961,-56.0967,27.96,74,75,4.12,BR,1738782574
51,saint-francois,46.4154,3.9054,3.71,94,100,1.54,FR,1738782773
52,iskateley,67.6803,53.1512,-10.5,93,45,6.47,RU,1738782774
53,tofol,5.3248,163.0078,24.49,91,100,3.21,FM,1738782775
54,kodiak,57.79,-152.4072,-6.27,86,0,0.0,US,1738782776
55,cherdyn',60.403,56.4787,-8.37,92,100,1.69,RU,1738782777
56,khandyga,62.6667,135.6,-42.82,100,49,0.26,RU,1738782778
57,aasiaat,68.7098,-52.8699,-31.32,99,49,1.34,GL,1738782779
58,vendome,47.8,1.0667,6.05,99,82,3.04,FR,1738782781
59,touros,-5.1989,-35.4608,28.95,67,100,5.08,BR,1738782782
60,grand falls-windsor,48.9332,-55.6649,-10.83,57,100,3.13,CA,1738782783
61,griffith,41.5284,-87.4237,-0.08,61,100,4.63,US,1738782784
62,rouyn-noranda,48.2398,-79.0288,-13.95,56,20,6.69,CA,1738782781
63,kolonia town,6.964,158.206,23.89,96,100,2.24,FM,1738782787
64,tolanaro,-25.0319,46.9987,25.9,91,2,4.71,MG,1738782788
65,livingston,55.9029,-3.5226,4.5,95,0,3.6,GB,1738782789
66,edinburgh of the seven seas,-37.0676,-12.3116,18.51,93,96,11.2,SH,1738782790
67,invercargill,-46.4,168.35,11.68,86,76,0.89,NZ,1738782791
68,longyearbyen,78.2186,15.6401,-0.09,59,75,7.72,SJ,1738782792
69,ribeira grande,38.5167,-28.7,18.22,88,40,3.09,PT,1738782793
70,kalmunai,7.4167,81.8167,25.22,77,14,3.55,LK,1738782795
71,arpajon-sur-cere,44.9026,2.4581,3.83,75,0,1.54,FR,1738782796
72,inebolu,41.9747,33.7608,2.66,79,97,2.35,TR,1738782797
73,remire-montjoly,4.9167,-52.2667,28.02,78,72,5.66,GF,1738782798
74,constantia,44.1833,28.65,-2.39,60,36,6.25,RO,1738782607
75,olonkinbyen,70.9221,-8.7187,-2.15,77,4,13.93,SJ,1738782800
76,west island,-12.1568,96.8225,27.99,89,40,5.14,CC,1738782803
77,st. john's,47.5649,-52.7093,-5.02,80,100,9.77,CA,1738782804
78,kavaratti,10.5669,72.642,27.22,72,13,3.32,IN,1738782805
79,jayapura,-2.5333,140.7,24.66,94,100,1.15,ID,1738782598
80,emerald,-23.5333,148.1667,20.67,97,100,5.71,AU,1738782808
81,crane,31.3974,-102.3501,26.82,29,0,4.35,US,1738782809
82,thetford-mines,46.0937,-71.3054,-16.07,85,100,4.67,CA,1738782810
83,mar del plata,-38.0023,-57.5575,22.83,80,100,6.17,AR,1738782183
84,port elizabeth,-33.918,25.5701,21.29,89,81,0.89,ZA,1738782792
85,al qadarif,14.0349,35.3834,30.22,23,3,4.98,SD,1738782636
86,san patricio,28.017,-97.5169,26.97,62,100,6.62,US,1738782815
87,fizuli,39.5771,47.4084,4.17,84,100,5.58,AZ,1738782816
88,hadibu,12.65,54.0333,22.49,69,1,4.96,YE,1738782817
89,bodo,67.28,14.405,4.02,77,75,10.8,NO,1738782818
90,bilibino,68.0546,166.4372,-41.71,94,5,1.35,RU,1738782819
91,boguchany,58.3814,97.4531,-14.85,97,100,2.16,RU,1738782820
92,sinop,41.7711,34.8709,-2.36,96,100,1.27,TR,1738782821
93,acarau,-2.8856,-40.12,28.36,71,72,6.21,BR,1738782823
94,puerto ayora,-0.7393,-90.3518,26.42,91,2,1.79,EC,1738782824
95,ha tinh,18.3333,105.9,16.45,90,98,1.24,VN,1738782825
96,haiku-pauwela,20.9219,-156.3051,22.36,76,40,6.17,US,1738782827
97,aitape,-3.1374,142.3475,25.19,90,100,1.65,PG,1738782828
98,sao miguel do tapuio,-5.5036,-41.3233,32.25,42,98,4.84,BR,1738782829
99,shitanjing,39.2342,106.3439,-9.58,33,0,12.93,CN,1738782830
100,chegdomyn,51.1167,133.0167,-16.7,92,100,1.61,RU,1738782831
101,moab,38.5733,-109.5498,18.03,32,0,9.84,US,1738782640
102,arkhangel'sk,64.5401,40.5433,-7.94,93,40,4.0,RU,1738782834
103,carangola,-20.7331,-42.0294,27.8,59,77,1.47,BR,1738782835
104,san antonio de pale,-1.4014,5.6325,27.45,81,100,4.22,GQ,1738782836
105,tbeng meanchey,13.8167,104.9667,20.36,64,0,1.17,KH,1738782837
106,inirida,3.8653,-67.9239,33.26,50,67,1.2,CO,1738782838
107,magadan,59.5667,150.8,-23.59,73,2,2.81,RU,1738782547
108,kapuskasing,49.4169,-82.4331,-10.95,56,75,7.2,CA,1738782840
109,kampene,-3.6,26.6667,21.08,98,100,0.76,CD,1738782841
110,iqaluit,63.7506,-68.5145,-30.15,67,40,1.34,CA,1738782842
111,manicore,-5.8092,-61.3003,23.61,99,100,0.23,BR,1738782844
112,san rafael,-34.6177,-68.3301,33.3,14,0,3.8,AR,1738782584
113,dzilam gonzalez,21.2833,-88.9333,32.84,33,0,2.01,MX,1738782846
